Ticker	% Chng
AQMS	272.064
TGTX	249.702
ADXS	239.769
ANTH	222.392
ZIOP	204.772
CRBP	178.503
MUX	174.874
INO	171.123
BCRX	171.085
XXII	143.86
BURG	142.472
CGI	112.88
CRK	110.972
XONE	104.738
WTI	99.963
VTL	99.744
GROW	99.332
CLNT	97.758
VKTX	94.657
PACB	89.435
OBLN	86.591
CORI	86.263
GNCA	85.26
SRNE	81.643
QHC	77.604
NVIV	74.546
MYSZ	66.281
PIXY	65.731
IPWR	59.943
BTX	59.585
TTOO	59.515
USEG	56.449
AKTS	56.092
GALT	54.18
YTEN	49.197
MARA	45.182
CGIX	41.456
CLD	39.954
IGC	39.44
TOO	38.439
NETS	36.906
TNXP	35.071
CRMD	33.54
VCEL	32.285
VERU	31.165
NVFY	29.768
GNE	28.674
TRIL	28.083
EDGE	27.424
DHX	26.947
MARK	25.807
NAVB	25.071
NBRV	24.403
CLNE	23.085
RUBI	21.225
MTNB	18.829
SUNW	18.685
OHGI	16.857
YECO	11.911
SGOC	10.755
PLM	10.466
UAN	9.512
PPHM	8.505
VLRX	6.0
AFMD	5.827
FCRE	5.053
NTEC	4.369
LONE	3.436
ACST	3.253
SAUC	3.125
DSS	1.6
RMGN	1.561
GILT	0.29
BRQS	0.257
ACMR	0.211
IGLD	0.174
MTSL	0.095
XIN	0.0
SSC	0.0
MTP	0.0
CLBS	0.0
SVM	0.0
ATAI	0.0
USAS	0.0
FRSX	0.0
FWP	0.0
MCF	0.0
ADAP	0.0
LEJU	0.0
NXE	0.0
THM	0.0
JMEI	0.0
MDGS	0.0
SIFY	0.0
NM	0.0



Shares with Shorts >= 15%:
INSY 19.854
MNKD 14.655
HMNY 14.58
FTK 13.734
AQMS 11.737
FOSL 11.326
BCRX 10.794
SGYP 9.865
APRI 9.783
ANY 9.756
BLCM 9.75
ADXS 9.155
IMGN 9.048
IMUC 8.608
CHRS 8.523
ANTH 8.485
EROS 8.29
OCUL 8.09
MUX 7.895
TNDM 7.627
ZIOP 7.246
AMRS 7.2
DAVE 6.818
TGTX 6.707
FRSH 6.506
CRK 6.501
JAKK 6.383
TRXC 6.218
DEPO 5.963
